Merchant Transactions as of 10/03/19  00:48 - bubbly2017 - Promo Cards,,,,,,,,
Period 08/03/19 to 09/03/19  -  Sirville - Sirville,,,,,,,,
Gross Total ...... 7044800,,,,,,,,
Discount Total ... ,,,,,,,,
Gratuity Total ... ,,,,,,,,
Nett Total ....... 7044800,,,,,,,,
,,,,,,,,
Terminal,Date,Time,Gross,Discount,Gratuity,Nett,Card,ID
Sirville,09/03/2019,10:22:57,20000,0,0,20000,1EC80A53,1234
Sirville,09/03/2019,11:57:36,10000,0,0,10000,0EF7DFAE,1234
Sirville,09/03/2019,12:29:50,10000,0,0,10000,9EAD0C53,1234
Sirville,09/03/2019,12:33:22,10000,0,0,10000,8E41DCAE,1234
Sirville,09/03/2019,12:38:37,22000,0,0,22000,9E56DAAE,1234
Sirville,09/03/2019,12:43:35,10000,0,0,10000,0E1FF0AE,1234
Sirville,09/03/2019,13:22:05,10000,0,0,10000,DE120753,1234
Sirville,09/03/2019,13:53:47,42000,0,0,42000,BE450D53,1234
Sirville,09/03/2019,13:55:44,12000,0,0,12000,BE450D53,1234
Sirville,09/03/2019,14:02:36,10000,0,0,10000,5E0DDAAE,1234
Sirville,09/03/2019,14:04:04,10000,0,0,10000,7E7B1653,1234
Sirville,09/03/2019,14:08:48,24000,0,0,24000,1ED90853,1234
Sirville,09/03/2019,14:26:38,20000,0,0,20000,0EF7DFAE,1234
Sirville,09/03/2019,14:50:54,10000,0,0,10000,3EA8F5AE,1234
Sirville,09/03/2019,14:56:54,12000,0,0,12000,2EB00453,1234
Sirville,09/03/2019,15:12:44,35000,0,0,35000,2EB21653,1234
Sirville,09/03/2019,15:28:55,57000,0,0,57000,0E1FF0AE,1234
Sirville,09/03/2019,15:30:23,30000,0,0,30000,FE12D0AE,1234
Sirville,09/03/2019,15:34:01,45000,0,0,45000,5E21DBAE,1234
Sirville,09/03/2019,15:39:30,45000,0,0,45000,2E08E4AE,1234
Sirville,09/03/2019,16:06:26,10000,0,0,10000,2EA70D53,1234
Sirville,09/03/2019,16:23:38,35000,0,0,35000,1EB7FE52,1234
Sirville,09/03/2019,16:25:33,55000,0,0,55000,BE040B53,1234
Sirville,09/03/2019,16:26:30,65000,0,0,65000,0E1D0F53,1234
Sirville,09/03/2019,16:27:52,55000,0,0,55000,0E1D0F53,1234
Sirville,09/03/2019,16:33:15,30000,0,0,30000,EE5EE1AE,1234
Sirville,09/03/2019,16:44:33,81000,0,0,81000,7EFAD7AE,1234
Sirville,09/03/2019,16:47:27,12000,0,0,12000,2EB00453,1234
Sirville,09/03/2019,16:48:31,45000,0,0,45000,9E9F0F53,1234
Sirville,09/03/2019,16:52:52,15000,0,0,15000,7EC3DCAE,1234
Sirville,09/03/2019,17:03:48,20000,0,0,20000,8EA2D7AE,1234
Sirville,09/03/2019,17:11:11,20000,0,0,20000,6E77DEAE,1234
Sirville,09/03/2019,17:23:21,20000,0,0,20000,DE120753,1234
Sirville,09/03/2019,17:32:03,25000,0,0,25000,7E22F3AE,1234
Sirville,09/03/2019,17:33:58,20000,0,0,20000,0E8A1253,1234
Sirville,09/03/2019,17:34:31,25000,0,0,25000,2E47FE52,1234
